| № | Дата/время | Температура | Осадки (мм) |
| -- | ------------- | ----------- | ------------ |
| 1 | 03.05.2025 00:00 | 3.6 | 0.00 |
| 2 | 03.05.2025 01:00 | 3.5 | 0.00 |
| 3 | 03.05.2025 02:00 | 3.3 | 0.00 |
| 4 | 03.05.2025 03:00 | 3.1 | 0.10 |
| 5 | 03.05.2025 04:00 | 2.6 | 0.00 |
| 6 | 03.05.2025 05:00 | 2.2 | 0.00 |
| 7 | 03.05.2025 06:00 | 1.8 | 0.00 |
| 8 | 03.05.2025 07:00 | 1.8 | 0.00 |
| 9 | 03.05.2025 08:00 | 1.8 | 0.00 |
| 10 | 03.05.2025 09:00 | 3.0 | 0.00 |
| 11 | 03.05.2025 10:00 | 4.9 | 0.00 |
| 12 | 03.05.2025 11:00 | 6.8 | 0.00 |
| 13 | 03.05.2025 12:00 | 8.6 | 0.00 |
| 14 | 03.05.2025 13:00 | 9.8 | 0.00 |
| 15 | 03.05.2025 14:00 | 11.0 | 0.00 |
| 16 | 03.05.2025 15:00 | 11.5 | 0.00 |
| 17 | 03.05.2025 16:00 | 11.8 | 0.00 |
| 18 | 03.05.2025 17:00 | 11.5 | 0.00 |
| 19 | 03.05.2025 18:00 | 10.7 | 0.00 |
| 20 | 03.05.2025 19:00 | 9.8 | 0.00 |
| 21 | 03.05.2025 20:00 | 9.0 | 0.00 |
| 22 | 03.05.2025 21:00 | 8.7 | 0.10 |
| 23 | 03.05.2025 22:00 | 8.4 | 0.10 |
| 24 | 03.05.2025 23:00 | 8.3 | 0.00 |
